DATA,PRODUTO,UNIDADE,MÁXIMO,MAIS FREQUENTE,MINIMO
2023-01-03,00101-ABACATE,KG,9,5.55,3.89
2023-01-03,00201-ABACAXI CAIENA (HAWAI),UND,5.5,5.0,4.0
2023-01-03,00202-ABACAXI PEROLA,UND,5,4.0,3.0
2023-01-03,00203-ABACAXI TERRA DE AREIA,UND,3.75,3.0,1.5
2023-01-03,05901-ABOBORA,KG,5,3.5,2.5
2023-01-03,06003-ABOBRINHA ITALIANA,KG,3.33,2.67,2.0
2023-01-03,06004-ABOBRINHA TRONCO,KG,4,2.67,2.0
2023-01-03,03401-ACEROLA,KG,15,15.0,12.5
2023-01-03,04201-AGRIAO,DZ,12,12.0,10.0
2023-01-03,04301-AIPO SALSAO,DZ,96,72.0,72.0
2023-01-03,04401-ALCACHOFRA,UND,7.14,5.71,5.71
2023-01-03,04450-ALCACHOFRA IMPORTADA,KG,23.81,23.81,21.43
2023-01-03,10201-ALECRIM,MOL,2,2.0,1.5
2023-01-03,04501-ALFACE,DZ,15,12.0,8.0
2023-01-03,04502-ALFACE AMERICANA,DZ,25,15.0,15.0
2023-01-03,07650-ALHO IMPORTADO,KG,26,24.0,20.0
2023-01-03,12001-ALHO MACHO,KG,13,13.0,10.0
2023-01-03,07603-ALHO NACIONAL,KG,26,24.0,20.0
2023-01-03,11001-ALHO PORO,DZ,25,25.0,20.0
2023-01-03,04601-ALMEIRAO / RADITE,DZ,12,12.0,10.0
2023-01-03,00350-AMEIXA IMPORTADA,KG,11.11,8.89,8.89
2023-01-03,00301-AMEIXA NACIONAL,KG,10,7.0,5.0
2023-01-03,09502-AMENDOIM COM CASCA,KG,9,8.0,8.0
2023-01-03,09501-AMENDOIM SEM CASCA,KG,10,8.8,8.8
2023-01-03,00401-AMORA PRETA,KG,50,50.0,50.0
2023-01-03,00501-BANANA CATURRA / NANICA,KG,4.5,3.33,2.0
2023-01-03,00505-BANANA MACA,KG,12,10.0,8.0
2023-01-03,00503-BANANA PRATA / BRANCA,KG,5.5,4.25,2.75
2023-01-03,10101-BATATA-DOCE,KG,4.45,3.33,2.22
2023-01-03,07701-BATATA INGLESA,KG,4.8,4.4,3.2
2023-01-03,06101-BERINJELA,KG,5,3.5,2.5
2023-01-03,07802-BETERRABA,KG,4,3.05,2.22
2023-01-03,07801-BETERRABA MOLHO,DZ,35,30.0,25.0
2023-01-03,04702-BROCOLIS,DZ,40,35.0,20.0
2023-01-03,11701-BROTOS DIVERSOS,KG,36,25.0,25.0
2023-01-03,00650-CAQUI IMPORTADO,KG,26.67,25.0,22.22
2023-01-03,07901-CARA,KG,13.33,12.67,12.67
2023-01-03,00701-CARAMBOLA,KG,12,11.43,7.5
2023-01-03,08001-CEBOLA NACIONAL,KG,4.5,4.0,2.5
2023-01-03,08002-CEBOLA ROXA,KG,5.5,5.5,5.0
2023-01-03,08102-CENOURA,KG,4.5,2.78,2.22
2023-01-03,08150-CENOURA BABY,KG,17,16.0,16.0
2023-01-03,08101-CENOURA MOLHO,DZ,25,20.0,15.0
2023-01-03,09850-CEREJA IMPORTADA,KG,30,30.0,28.0
2023-01-03,04801-CHEIRO VERDE / TEMPERO,DZ,18,12.0,10.0
2023-01-03,04901-CHICORIA / ESCAROLA,DZ,12,10.0,10.0
2023-01-03,06201-CHUCHU,KG,3.5,2.5,2.0
2023-01-03,00802-COCO SECO,KG,7.22,6.67,6.67
2023-01-03,00801-COCO VERDE,UND,5,4.5,4.5
2023-01-03,05001-COUVE,DZ,15,10.0,8.0
2023-01-03,10501-COUVE CHINESA,DZ,35,25.0,20.0
2023-01-03,10601-COUVE-FLOR,DZ,50,40.0,30.0
2023-01-03,03501-ENDIVIA,KG,50,40.0,40.0
2023-01-03,05101-ERVA DOCE / FUNCHO,DZ,72,72.0,70.0
2023-01-03,05102-ERVAS AROMATICAS,MOL,2,2.0,1.5
2023-01-03,06302-ERVILHA,KG,27.78,27.78,17.14
2023-01-03,06303-ERVILHA TORTA,KG,38.89,33.33,33.33
2023-01-03,05301-ESPINAFRE,DZ,20,15.0,12.0
2023-01-03,06401-FAVA,KG,13.33,11.25,11.25
2023-01-03,09301-FEIJAO,KG,10,7.0,5.5
2023-01-03,00901-FIGO MADURO,KG,33.33,27.78,16.66
2023-01-03,00902-FIGO VERDE,KG,8,7.0,6.0
2023-01-03,12301-FLORES COMESTIVEIS,UND,9,9.0,8.0
2023-01-03,08201-GENGIBRE,KG,7.5,6.0,5.0
2023-01-03,01001-GOIABA,KG,10,8.33,5.0
2023-01-03,12401-GRAVIOLA,KG,15,13.33,13.33
2023-01-03,08401-INHAME,KG,13.33,12.67,12.67
2023-01-03,01101-JABUTICABA,KG,26.67,20.0,11.11
2023-01-03,01201-JACA,UND,30,30.0,30.0
2023-01-03,06501-JILO,KG,13.08,12.0,12.0
2023-01-03,11301-KINKAN,KG,37.5,37.5,37.5
2023-01-03,01350-KIWI IMPORTADO,KG,15.55,15.0,13.0
2023-01-03,01401-LARANJA BAIA (UMBIGO),KG,7.22,6.67,5.55
2023-01-03,01450-LARANJA IMPORTADA,KG,12,9.14,7.78
2023-01-03,01403-LARANJA LIMA (CEU),KG,3.89,3.33,2.22
2023-01-03,01406-LARANJA SUCO,KG,3.33,2.78,2.22
2023-01-03,01501-LIMA,KG,7.78,6.11,3.05
2023-01-03,01650-LIMAO IMPORTADO,KG,10,9.33,8.67
2023-01-03,01602-LIMAO SICILIANO,KG,6.33,6.33,6.33
2023-01-03,01603-LIMAO TAITI,KG,3.33,2.78,2.22
2023-01-03,10701-LOURO,MOL,2,2.0,1.5
2023-01-03,01704-MACA FUJI CX PAP,KG,9.44,9.44,4.44
2023-01-03,01701-MACA FUJI CX PLAST,KG,8.06,6.11,3.5
2023-01-03,01753-MACA FUJI IMPORTADA,KG,7.5,7.22,7.22
2023-01-03,01705-MACA GALA CX PAP,KG,9.72,9.72,4.44
2023-01-03,01703-MACA GALA CX PLAST,KG,8.06,6.11,3.5
2023-01-03,01754-MACA GALA IMPORTADA,KG,10.44,9.44,7.78
2023-01-03,01707-MACA GOLDEN CX PAP,KG,8.89,7.78,7.78
2023-01-03,01756-MACA GRANNY SMITH,KG,10.28,10.28,9.72
2023-01-03,01755-MACA RED DELICIOUS,KG,10,9.21,9.21
2023-01-03,01803-MAMAO AMAZONAS (PAPAIA),KG,9.5,9.0,9.0
2023-01-03,01802-MAMAO FORMOSA,KG,8,7.3,6.0
2023-01-03,08501-MANDIOCA,KG,3.89,3.33,2.5
2023-01-03,08601-MANDIOQUINHA,KG,20,20.0,15.0
2023-01-03,01901-MANGA,KG,3.89,3.05,2.5
2023-01-03,05402-MANJERICAO,MOL,2,1.5,1.5
2023-01-03,05401-MANJERONA,MOL,2,2.0,1.5
2023-01-03,02001-MARACUJA AZEDO,KG,15,11.0,9.0
2023-01-03,02002-MARACUJA DOCE,KG,30,22.5,20.0
2023-01-03,06601-MAXIXE,KG,12.31,11.54,11.54
2023-01-03,11601-MEL,KG,25,25.0,22.0
2023-01-03,02101-MELANCIA,KG,3.5,1.5,1.0
2023-01-03,10901-MELANCIA KODAMA / BABY,KG,6,6.0,4.5
2023-01-03,02201-MELAO COMUM (GAUCHO),KG,3.89,3.33,2.22
2023-01-03,02202-MELAO ESPANHOL,KG,5,4.23,3.69
2023-01-03,02208-MELAO GALIA / CANTALOUPE,KG,6.67,5.55,3.75
2023-01-03,02205-MELAO NET,KG,10,8.33,8.33
2023-01-03,02204-MELAO ORANGE,KG,8.33,6.67,6.33
2023-01-03,02206-MELAO PELE DE SAPO,KG,5.83,5.0,4.23
2023-01-03,09601-MILHO PIPOCA,KG,7,7.0,6.5
2023-01-03,09401-MILHO RACAO,KG,2,2.0,1.9
2023-01-03,06701-MILHO VERDE (3UN),SCL,3.5,3.0,2.5
