Data;Produto;Volume (kg)
2022-03-22;Tomate;890
2022-03-04;Batata Inglesa;680
2022-05-23;Cebola;796
2022-07-27;Tomate;519
2022-04-05;Cebola;100
2022-08-26;Cebola;218
2022-10-18;Cebola;495
2022-06-10;Batata Inglesa;614
2022-01-19;Tomate;674
2022-06-14;Batata Inglesa;100
2022-05-26;Tomate;374
2022-03-24;Batata Inglesa;489
2022-09-05;Cebola;688
2022-11-18;Cebola;860
2022-09-08;Cebola;783
2022-09-19;Batata Inglesa;721
2022-05-25;Tomate;530
2022-11-22;Batata Inglesa;405
2022-07-19;Tomate;992
2022-02-21;Cebola;643
2022-12-12;Cebola;698
2022-11-23;Tomate;650
2022-06-13;Tomate;726
2022-07-12;Tomate;251
2022-05-06;Batata Inglesa;782
2022-09-20;Batata Inglesa;276
2022-05-03;Tomate;592
2022-03-15;Batata Inglesa;853
2022-04-25;Cebola;503
2022-11-28;Batata Inglesa;566
2022-07-21;Batata Inglesa;323
2022-08-08;Batata Inglesa;935
2022-02-16;Tomate;971
2022-11-15;Cebola;708
2022-04-25;Cebola;399
2022-03-02;Cebola;454
2022-03-23;Batata Inglesa;511
2022-01-31;Batata Inglesa;464
2022-10-07;Batata Inglesa;595
2022-11-10;Cebola;659
2022-07-01;Batata Inglesa;698
2022-09-22;Cebola;563
2022-09-30;Tomate;486
2022-07-01;Cebola;274
2022-04-06;Batata Inglesa;830
2022-10-20;Tomate;591
2022-01-20;Tomate;564
2022-10-25;Batata Inglesa;344
2022-05-06;Cebola;393
2022-09-08;Cebola;209
2022-05-25;Batata Inglesa;719
2022-12-22;Batata Inglesa;700
2022-08-02;Tomate;558
2022-07-11;Batata Inglesa;694
2022-01-20;Batata Inglesa;391
2022-02-17;Cebola;292
2022-07-20;Cebola;607
2022-12-26;Cebola;596
2022-10-26;Tomate;601
2022-10-06;Cebola;647
2022-02-23;Tomate;893
2022-03-03;Tomate;795
2022-04-06;Cebola;492
2022-01-11;Cebola;637
2022-09-08;Cebola;760
2022-09-05;Tomate;353
2022-10-18;Tomate;616
2022-06-07;Batata Inglesa;321
2022-02-02;Cebola;623
2022-03-08;Batata Inglesa;332
2022-05-26;Cebola;803
2022-11-15;Tomate;273
2022-05-26;Tomate;472
2022-10-21;Cebola;211
2022-10-04;Batata Inglesa;749
2022-03-23;Tomate;489
2022-02-17;Tomate;311
2022-09-05;Batata Inglesa;341
2022-08-29;Batata Inglesa;769
2022-10-27;Cebola;537
2022-11-25;Tomate;383
2022-10-10;Cebola;101
2022-04-27;Cebola;445
2022-01-21;Cebola;434
2022-09-14;Cebola;821
2022-05-24;Cebola;545
2022-10-03;Cebola;653
2022-01-11;Cebola;840
2022-08-17;Batata Inglesa;506
2022-09-28;Tomate;725
2022-04-21;Tomate;505
2022-10-27;Cebola;825
2022-08-29;Cebola;743
2022-09-06;Tomate;513
2022-08-29;Tomate;100
2022-07-06;Batata Inglesa;618
2022-05-20;Cebola;462
2022-09-23;Batata Inglesa;628
2022-02-14;Cebola;746
2022-01-25;Batata Inglesa;375
2022-03-04;Batata Inglesa;469
2022-05-06;Tomate;510
2022-01-18;Cebola;595
2022-05-03;Tomate;402
2022-10-05;Batata Inglesa;235
2022-09-15;Tomate;608
2022-03-14;Tomate;498
2022-05-05;Tomate;659
2022-09-28;Cebola;515
2022-04-01;Tomate;832
2022-01-03;Tomate;815
2022-02-24;Batata Inglesa;337
2022-03-18;Cebola;207
2022-11-02;Batata Inglesa;826
2022-10-13;Tomate;287
2022-09-16;Cebola;415
2022-10-20;Cebola;623
2022-02-22;Tomate;812
2022-05-04;Batata Inglesa;501
2022-05-17;Tomate;513
2022-12-13;Tomate;740
2022-02-03;Batata Inglesa;663
2022-03-02;Cebola;437
2022-02-22;Cebola;491
2022-08-24;Tomate;664
2022-06-16;Tomate;515
2022-03-25;Batata Inglesa;627
2022-01-25;Batata Inglesa;562
2022-04-11;Batata Inglesa;505
2022-12-12;Cebola;689
2022-07-11;Cebola;741
2022-02-14;Tomate;499
2022-08-30;Cebola;910
2022-08-12;Cebola;504
2022-02-21;Cebola;543
2022-12-22;Batata Inglesa;444
2022-10-10;Batata Inglesa;623
2022-07-11;Cebola;687
2022-05-26;Cebola;410
2022-04-28;Tomate;999
2022-10-06;Tomate;729
2022-12-05;Tomate;354
2022-05-20;Cebola;581
2022-08-02;Tomate;728
2022-06-30;Cebola;773
2022-07-19;Batata Inglesa;508
2022-03-14;Cebola;299
2022-02-23;Tomate;548
2022-02-09;Batata Inglesa;385
2022-01-11;Tomate;214
2022-02-08;Tomate;294
2022-11-04;Tomate;535
2022-05-25;Cebola;605
2022-01-21;Tomate;947
2022-05-18;Batata Inglesa;722
2022-03-22;Batata Inglesa;575
2022-04-25;Tomate;888
2022-08-04;Tomate;975
2022-12-28;Cebola;999
2022-01-31;Batata Inglesa;699
2022-04-28;Tomate;374
2022-08-04;Batata Inglesa;912
2022-04-22;Tomate;392
